urls_id	urls	urls_title	urls_visit_count	urls_typed_count	urls_last_visit_time	urls_hidden	visits_time	visits_from_visit	visits_duration	visits_transition
1	https://www.google.com/search?q=linkedin&oq=link&aqs=chrome.1.69i57j0i131i433j0i433j5.1920j0j7&client=ms-android-samsung&sourceid=chrome-mobile&ie=UTF-8	linkedin - Google Search	1	0	13267086036802546	0	13267086036802546	0	0	838860805
2	https://in.linkedin.com/	Feed | LinkedIn	6	0	13267556237494768	0	13267556237494768	0	0	268435456
3	https://www.linkedin.com/uas/login-submit	LinkedIn Login, Sign in | LinkedIn	1	0	13267086111325949	0	13267086111325949	2	11316959	805306375
4	https://www.linkedin.com/signup/cold-join?source=homepage-basic_google-one-tap-submit	Sign Up | LinkedIn	1	0	13267086122642908	0	13267086122642908	3	0	805306368
5	https://www.linkedin.com/xauth/startauth?_authEd=AgErSOEQ4l6VIQAAAXnLPjUG4x8pPJqfLnc7-ucBrWC_6rEZ_vsG8I6WntLACm8Kwrqa9g11uudbSmO7LJXs3K_p8vu9nc5nXEVvjnX2gLYhpiEs9pVkUoZz_vfxrAJaPTsmKPii41XKOr-GP-9fwwAhn6e5UfBS-lb4gLXArGrNJH69k28zlxm3VHYtDbsC3713UIbAEq2Csx8Uw8KsG_DyYgVnRMZAuDEijycM4Q	Sign in – Google accounts	1	0	13267086127493673	0	13267086127493673	0	0	268435456
6	https://accounts.google.com/o/oauth2/v2/auth?client_id=802926523257.apps.googleusercontent.com&redirect_uri=https%3A%2F%2Fwww.linkedin.com%2Fgenie%2Ffinishauth&scope=profile%20email&response_type=code&state=22d9f1cc-f20b-4660-9623-4404ef658d24	Sign in – Google accounts	2	0	13267086129576004	0	13267086129576004	0	0	805306368
7	https://accounts.google.com/o/oauth2/v2/auth/oauthchooseaccount?client_id=802926523257.apps.googleusercontent.com&redirect_uri=https%3A%2F%2Fwww.linkedin.com%2Fgenie%2Ffinishauth&scope=profile%20email&response_type=code&state=22d9f1cc-f20b-4660-9623-4404ef658d24&flowName=GeneralOAuthFlow	Sign in – Google accounts	1	0	13267086130581776	0	13267086130581776	0	0	805306368
8	https://accounts.google.com/signin/oauth/consent?authuser=0&part=AJi8hAMz1cf5eXdr-BAi_CQ_bVUlabIkZmJjE6hpcdfSRbvVQWosMCLwKRRUVFwxJjIm2AFq1Ac_Y6DfFZ4vHzRGrHnQH6bLPMY4gpNxNR4INcjNqWZz5RPwwqDVNjU46-lLFukfDRXKjrrliNeuuKZz5ZJTBHxEuPMzHEM7VgynpJkvWjZWUUes9CjEyN6pnaOAhMle5EU9gXGOZPJdJ4FpJt28yL5RZlMsHEXj_0rC2UFIrR8Tb2pNwG7iAvBPvzRDN9XMEQHRV0W3w4PUazwLm-ljcKxJgoiscOxbnt0IXFrGEilp5glm6MiV3e7PISm8cPUrBfLn76wWAmkbgn_wtED1OlB3JcSckzGOCG4eMwg7dbcACbjvFSAAJR4yLMtMl7ErIqI-w8bZ3hJhFAs14ExSzlBnlA&as=S-754918618%3A1622612527216206&pli=1&rapt=AEjHL4NRhgul6q9aXYOOiKq9z3U1sWIIWDOEyn_XUjqzlrr4BN-kQwYNyhGTpQHvPMNSfgyvfXDTltg9fi34HICzqS3MKOsA6A#	Processing... | LinkedIn	1	0	13267086137627111	0	13267086137627111	8	0	1073741824
9	https://www.linkedin.com/genie/finishauth?state=22d9f1cc-f20b-4660-9623-4404ef658d24&code=4%2F0AY0e-g5B1UHg_G44W6_12_VST9_bnpRILY2xwFdJlEqRUAzVy_FrHz3UdRBlEod-tPTcVQ&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid&authuser=0&prompt=consent#	Processing... | LinkedIn	1	0	13267086137627111	0	13267086137627111	9	0	2147483648
10	https://www.linkedin.com/xauth/scb?_authEd=AgE6DukWDkPWtQAAAXnLPm1hVXo3_P8hpM1ePLuuObRBgdzXlQCJA_LRL8wTAZDSTv5NEjwe5vPCVS_PXWZHzttQLUf9wWVOwXkR_mEzLtX3qfT05vZjPmtJE8v2UYIwO6jXTqaJXRahI40ZSujkvwbkrrc7jtlsglNBB_VtOVsg4ZxbS_95Vaf57p6LFsUwDyT1nTvE3W2rB0vpGRHFb51tBv6FKBdfBOARncJXKpqu_HixMDLn6hZ02Q75R4PNRA4pvenbZX0mSc1oeXBWt2yDzsqD6ZN5HvYNxqeqeWenkdK7O4BikWaMLK3a4aW04dWbqKTG9LiGvOijLZzCeElc5ShEUo1J2am8gFHcDZ0#	Processing... | LinkedIn	1	0	13267086137627111	0	13267086137627111	10	8991338	2684354560
